id;first_name;last_name;email;phone_number;join_date
1;Chelsey;Wyman;Kiana.Bosco@hotmail.com;wireless mint green;2020-07-03T16:11:20
2;Lexus;Kuphal;Vaughn24@gmail.com;firmware index mission-critical;2020-07-03T11:55:13
3;Afton;Cassin;Theodore52@yahoo.com;generate Hong Kong alarm;2020-07-04T06:20:20
4;Quinn;McGlynn;Hyman26@hotmail.com;full-range;2020-07-03T12:49:26
5;Marisa;Schinner;Cierra78@hotmail.com;Implementation JBOD;2020-07-03T21:05:21
6;Augustus;Ferry;Rowland9@hotmail.com;bypass Awesome Steel Tuna Spurs;2020-07-03T15:39:21
7;Waino;Grant;Emmy80@hotmail.com;quantifying Handmade;2020-07-03T12:16:34
8;Cristian;Kirlin;August3@gmail.com;Yuan Renminbi Algerian Dinar;2020-07-03T16:40:03
9;Tomas;Russel;Dewayne_Osinski41@hotmail.com;Electronics;2020-07-03T08:57:18
10;Chris;Schaden;Litzy_Smith@yahoo.com;Tuna;2020-07-03T10:08:05
